l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,8.0,4.0,9.0,2550.5490196078435,1.0
4.0,8.0,6.0,9.0,2580.9235294117652,1.0
6.0,8.0,7.0,9.0,2566.898039215687,1.0
3.0,9.0,4.0,11.0,2534.2137254901963,1.0
4.0,9.0,6.0,11.0,2577.230392156863,1.0
6.0,9.0,7.0,11.0,2538.633333333333,1.0
3.0,11.0,4.0,13.0,2392.93137254902,1.0
4.0,11.0,6.0,13.0,2429.128431372549,1.0
6.0,11.0,7.0,13.0,2452.6137254901964,1.0
6.0,6.0,8.0,7.0,871.7254901960785,2.0
8.0,6.0,9.0,7.0,617.0274509803921,2.0
2.0,7.0,3.0,8.0,1639.3450980392156,2.0
2.0,8.0,3.0,12.0,1697.9803921568628,2.0
2.0,12.0,3.0,14.0,1766.970588235294,2.0
7.0,7.0,8.0,8.0,1867.2862745098041,2.0
7.0,8.0,8.0,12.0,1800.8127450980392,2.0
7.0,12.0,8.0,14.0,1711.970588235294,2.0
3.0,7.0,4.0,8.0,2114.4666666666667,2.0
4.0,7.0,6.0,8.0,2200.8803921568633,2.0
6.0,7.0,7.0,8.0,2268.43137254902,2.0
2.0,15.0,4.0,16.0,431.07058823529405,2.0
2.0,14.0,4.0,15.0,2489.8607843137256,1.0
4.0,14.0,6.0,15.0,2389.592156862745,1.0
6.0,14.0,8.0,15.0,1603.6823529411765,1.0
3.0,13.0,4.0,14.0,1546.2235294117647,2.0
4.0,13.0,6.0,14.0,1543.1235294117648,2.0
6.0,13.0,7.0,14.0,1671.9176470588236,2.0
1.0,6.0,2.0,9.0,288.0444444444445,4.0
1.0,9.0,2.0,13.0,284.27450980392155,4.0
1.0,13.0,2.0,16.0,195.30588235294118,4.0
4.0,6.0,6.0,7.0,163.92941176470592,4.0
2.0,6.0,4.0,7.0,388.57647058823517,4.0
0.0,6.0,1.0,10.0,0.0,5.0
0.0,2.0,1.0,6.0,0.0,5.0
0.0,0.0,1.0,2.0,0.0,5.0
3.0,2.0,5.0,6.0,0.0,5.0
1.0,2.0,3.0,6.0,0.9666666666666666,5.0
3.0,0.0,5.0,2.0,0.0,5.0
1.0,0.0,3.0,2.0,0.0,5.0
5.0,2.0,7.0,6.0,0.0,5.0
7.0,2.0,9.0,6.0,14.603921568627452,5.0
5.0,0.0,7.0,2.0,0.0,5.0
7.0,0.0,9.0,2.0,0.0,5.0
9.0,6.0,10.0,10.0,0.0,5.0
9.0,2.0,10.0,6.0,0.0,5.0
9.0,0.0,10.0,2.0,0.0,5.0
8.0,7.0,9.0,10.0,1.1294117647058823,5.0
0.0,10.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,18.0,0.0,5.0
0.0,18.0,1.0,20.0,0.0,5.0
2.0,16.0,4.0,20.0,0.0,5.0
1.0,16.0,2.0,20.0,0.0,5.0
4.0,15.0,5.0,17.0,88.19803921568626,5.0
4.0,17.0,5.0,19.0,0.0,5.0
4.0,19.0,5.0,20.0,0.0,5.0
8.0,10.0,10.0,14.0,173.95098039215682,5.0
8.0,14.0,10.0,18.0,6.651960784313727,5.0
8.0,18.0,10.0,20.0,0.0,5.0
5.0,15.0,7.0,19.0,21.283823529411766,5.0
7.0,15.0,8.0,19.0,3.2647058823529416,5.0
5.0,19.0,7.0,20.0,0.0,5.0
7.0,19.0,8.0,20.0,0.0,5.0
