l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,3.0,3.0,7.0,957.4931372549021,2.0
3.0,3.0,7.0,7.0,2183.2340686274515,2.0
7.0,3.0,8.0,7.0,1982.119607843137,2.0
2.0,0.0,3.0,3.0,925.0143790849672,2.0
3.0,0.0,7.0,3.0,2059.157843137255,2.0
7.0,0.0,8.0,3.0,1956.1385620915037,2.0
2.0,7.0,3.0,11.0,695.8470588235292,2.0
3.0,7.0,7.0,11.0,1877.2149509803924,2.0
7.0,7.0,8.0,11.0,2150.0147058823527,2.0
2.0,11.0,3.0,15.0,1013.2147058823531,2.0
3.0,11.0,7.0,15.0,2065.3448529411767,2.0
7.0,11.0,8.0,15.0,2130.4107843137253,2.0
2.0,15.0,3.0,18.0,800.6666666666665,2.0
3.0,15.0,7.0,18.0,2036.161437908497,2.0
7.0,15.0,8.0,18.0,2162.294117647059,2.0
2.0,19.0,3.0,20.0,835.3686274509804,2.0
3.0,18.0,7.0,20.0,2021.9656862745103,2.0
7.0,18.0,8.0,20.0,2057.7235294117645,2.0
8.0,1.0,9.0,7.0,809.4575163398691,2.0
8.0,0.0,9.0,1.0,780.4156862745099,2.0
8.0,7.0,9.0,13.0,659.0660130718956,2.0
8.0,13.0,9.0,19.0,715.1660130718955,2.0
8.0,19.0,9.0,20.0,795.0627450980393,2.0
9.0,0.0,10.0,6.0,271.318954248366,4.0
9.0,6.0,10.0,14.0,191.22107843137258,4.0
9.0,14.0,10.0,20.0,200.12941176470594,4.0
1.0,1.0,2.0,7.0,282.4712418300653,4.0
1.0,0.0,2.0,1.0,256.2549019607843,4.0
1.0,18.0,2.0,20.0,60.70980392156864,4.0
2.0,18.0,3.0,19.0,212.32418300653595,4.0
0.0,2.0,1.0,10.0,0.0,5.0
0.0,0.0,1.0,2.0,0.0,5.0
1.0,7.0,2.0,10.0,5.08235294117647,5.0
0.0,10.0,1.0,18.0,0.0,5.0
0.0,18.0,1.0,20.0,0.0,5.0
1.0,10.0,2.0,16.0,57.22091503267973,5.0
1.0,16.0,2.0,18.0,10.57843137254902,5.0
