l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
7.0,3.0,8.0,8.0,757.7035294117646,2.0
3.0,0.0,6.0,1.0,2377.1633986928105,1.0
2.0,4.0,6.0,8.0,2438.724019607843,1.0
6.0,4.0,7.0,8.0,2175.406862745098,1.0
2.0,3.0,6.0,4.0,2390.572549019608,1.0
6.0,3.0,7.0,4.0,1978.9529411764706,1.0
1.0,5.0,2.0,11.0,799.5601307189543,2.0
1.0,0.0,2.0,5.0,896.7756862745098,2.0
6.0,0.0,8.0,1.0,1395.264705882353,2.0
4.0,10.0,5.0,12.0,1235.3176470588235,2.0
5.0,10.0,7.0,12.0,2146.7333333333336,1.0
2.0,14.0,3.0,16.0,2372.9745098039207,1.0
3.0,14.0,7.0,16.0,1947.9901960784314,1.0
7.0,14.0,8.0,16.0,1272.507843137255,1.0
7.0,10.0,8.0,14.0,1256.657843137255,2.0
1.0,13.0,2.0,16.0,483.6549019607843,2.0
3.0,13.0,5.0,14.0,1395.592156862745,2.0
2.0,13.0,3.0,14.0,1357.0509803921566,2.0
5.0,12.0,7.0,14.0,1573.9803921568628,2.0
8.0,14.0,9.0,17.0,1238.467973856209,2.0
3.0,17.0,7.0,19.0,2293.978431372549,1.0
2.0,16.0,3.0,20.0,1509.163725490196,2.0
7.0,16.0,8.0,19.0,1551.0313725490196,2.0
3.0,19.0,6.0,20.0,1607.9150326797387,2.0
3.0,16.0,7.0,17.0,1401.970588235294,2.0
2.0,8.0,4.0,13.0,1342.0203921568627,4.0
4.0,8.0,5.0,9.0,1340.1686274509805,4.0
5.0,8.0,7.0,9.0,1164.2313725490199,4.0
7.0,8.0,8.0,9.0,709.5450980392156,4.0
4.0,12.0,5.0,13.0,284.61176470588236,4.0
1.0,11.0,2.0,13.0,217.8352941176471,4.0
2.0,0.0,3.0,3.0,601.6357298474945,4.0
3.0,1.0,7.0,3.0,1311.2823529411762,4.0
7.0,1.0,8.0,3.0,544.3019607843137,4.0
8.0,0.0,9.0,4.0,241.54117647058825,5.0
8.0,4.0,9.0,10.0,341.21111111111117,5.0
8.0,10.0,9.0,14.0,796.3441176470587,5.0
9.0,0.0,10.0,6.0,204.37712418300652,5.0
9.0,6.0,10.0,14.0,314.11225490196085,5.0
9.0,14.0,10.0,20.0,647.0816993464052,5.0
6.0,19.0,8.0,20.0,1054.464705882353,5.0
8.0,14.0,9.0,20.0,162.51699346405226,5.0
4.0,9.0,5.0,10.0,375.9294117647057,5.0
5.0,9.0,7.0,10.0,764.6686274509806,5.0
7.0,9.0,8.0,10.0,742.0274509803921,5.0
0.0,0.0,1.0,6.0,75.0718954248366,5.0
0.0,6.0,1.0,14.0,51.10882352941177,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,16.0,2.0,20.0,5.08235294117647,5.0
