l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,0.0,6.0,1.0,2099.7320261437912,1.0
3.0,3.0,7.0,7.0,2451.316176470589,1.0
7.0,3.0,8.0,7.0,1999.4872549019608,1.0
3.0,2.0,7.0,3.0,2269.176470588236,1.0
7.0,2.0,8.0,3.0,1774.3803921568624,1.0
3.0,8.0,7.0,12.0,2447.992156862745,1.0
7.0,8.0,8.0,12.0,2193.745098039216,1.0
3.0,12.0,7.0,13.0,2453.917647058824,1.0
7.0,12.0,8.0,13.0,2121.2549019607845,1.0
3.0,14.0,7.0,15.0,2354.595098039216,1.0
7.0,14.0,8.0,15.0,2113.541176470588,1.0
3.0,16.0,7.0,20.0,2302.1382352941173,1.0
6.0,0.0,8.0,2.0,2086.987254901961,2.0
3.0,1.0,6.0,2.0,1851.9764705882355,2.0
2.0,2.0,3.0,6.0,1402.9715686274508,2.0
2.0,6.0,3.0,12.0,1250.5248366013072,2.0
2.0,12.0,3.0,16.0,1343.4460784313726,2.0
3.0,7.0,7.0,8.0,2242.603921568628,2.0
7.0,7.0,8.0,8.0,2153.5333333333333,2.0
3.0,13.0,7.0,14.0,2223.690196078432,2.0
7.0,13.0,8.0,14.0,2078.7333333333336,2.0
3.0,15.0,7.0,16.0,2008.541176470588,2.0
7.0,15.0,8.0,20.0,1965.7105882352946,2.0
8.0,1.0,9.0,7.0,278.240522875817,4.0
8.0,0.0,9.0,1.0,358.721568627451,4.0
8.0,7.0,9.0,13.0,225.340522875817,4.0
8.0,13.0,9.0,19.0,348.016339869281,4.0
8.0,19.0,9.0,20.0,344.68627450980387,4.0
9.0,18.0,10.0,20.0,4.890392156862744,4.0
1.0,12.0,2.0,18.0,82.47712418300654,4.0
1.0,18.0,2.0,20.0,54.46666666666667,4.0
2.0,16.0,3.0,20.0,209.1359477124184,4.0
1.0,2.0,2.0,8.0,110.46470588235293,4.0
1.0,0.0,2.0,2.0,87.77058823529413,4.0
2.0,0.0,3.0,2.0,204.65032679738565,4.0
0.0,0.0,1.0,6.0,0.0,5.0
0.0,6.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,8.0,2.0,12.0,5.08235294117647,5.0
9.0,0.0,10.0,5.0,6.2886274509803926,5.0
9.0,5.0,10.0,13.0,0.0,5.0
9.0,13.0,10.0,18.0,14.27294117647059,5.0
