l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,15.0,3.0,17.0,2022.464705882353,2.0
3.0,15.0,7.0,17.0,2444.592156862745,2.0
7.0,15.0,8.0,17.0,1714.8803921568629,2.0
2.0,5.0,3.0,8.0,1663.1803921568626,1.0
3.0,5.0,7.0,8.0,1773.7781045751635,1.0
7.0,5.0,8.0,8.0,1480.0509803921566,1.0
2.0,8.0,3.0,12.0,1494.3519607843134,1.0
3.0,8.0,7.0,12.0,2441.855882352941,1.0
7.0,8.0,8.0,12.0,2092.200980392157,1.0
2.0,12.0,3.0,15.0,1609.9450980392153,1.0
3.0,12.0,7.0,15.0,2426.9584967320266,1.0
7.0,12.0,8.0,15.0,2003.5686274509808,1.0
2.0,17.0,3.0,20.0,2088.3241830065367,1.0
3.0,17.0,7.0,20.0,2457.2990196078435,1.0
7.0,17.0,8.0,20.0,1546.7986928104574,1.0
2.0,0.0,3.0,1.0,1865.2666666666669,2.0
3.0,0.0,7.0,4.0,2263.6620098039216,1.0
7.0,0.0,8.0,4.0,1735.6205882352942,2.0
4.0,4.0,7.0,5.0,1189.9908496732025,2.0
7.0,4.0,9.0,5.0,1877.3980392156861,2.0
8.0,5.0,9.0,6.0,1496.1147058823526,2.0
8.0,6.0,9.0,10.0,162.37843137254904,4.0
8.0,10.0,9.0,16.0,185.84967320261435,4.0
8.0,16.0,9.0,20.0,180.49901960784317,4.0
0.0,1.0,2.0,7.0,31.674183006535944,5.0
0.0,0.0,2.0,1.0,53.65098039215687,5.0
0.0,7.0,2.0,13.0,29.86241830065359,5.0
0.0,13.0,2.0,19.0,50.75,5.0
0.0,19.0,2.0,20.0,61.082352941176474,5.0
2.0,1.0,3.0,5.0,3.388235294117647,5.0
3.0,4.0,4.0,5.0,2.541176470588235,5.0
8.0,0.0,9.0,4.0,1.1294117647058823,5.0
9.0,0.0,10.0,6.0,47.2921568627451,5.0
9.0,6.0,10.0,14.0,0.0,5.0
9.0,14.0,10.0,20.0,2.2751633986928104,5.0
