l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,1.0,3.0,5.0,1641.0627450980392,1.0
3.0,1.0,7.0,5.0,2400.8139705882354,1.0
7.0,1.0,8.0,5.0,1963.436274509804,1.0
2.0,0.0,3.0,1.0,1788.3372549019612,1.0
3.0,0.0,7.0,1.0,2574.055882352941,1.0
7.0,0.0,8.0,1.0,1617.4745098039216,1.0
3.0,8.0,7.0,12.0,2532.148529411765,1.0
3.0,14.0,7.0,16.0,2471.6431372549027,1.0
3.0,17.0,6.0,19.0,2341.5333333333333,1.0
6.0,17.0,7.0,20.0,2336.3411764705884,1.0
2.0,5.0,3.0,9.0,1625.918627450981,2.0
2.0,9.0,3.0,15.0,1699.8176470588235,2.0
2.0,15.0,3.0,20.0,1826.1207843137254,2.0
7.0,5.0,8.0,9.0,1944.2156862745103,2.0
7.0,9.0,8.0,15.0,1873.613725490196,2.0
7.0,15.0,8.0,19.0,1361.3107843137254,2.0
3.0,19.0,6.0,20.0,2265.435294117648,2.0
3.0,12.0,7.0,14.0,2223.8799019607845,2.0
3.0,16.0,7.0,17.0,2270.103921568628,2.0
3.0,5.0,7.0,8.0,2122.5816993464055,2.0
8.0,0.0,9.0,6.0,117.7032679738562,4.0
8.0,6.0,9.0,12.0,177.27385620915032,4.0
8.0,12.0,9.0,18.0,212.15424836601312,4.0
8.0,18.0,9.0,19.0,56.074509803921565,4.0
1.0,5.0,2.0,9.0,77.52156862745097,4.0
1.0,9.0,2.0,15.0,79.47254901960784,4.0
1.0,15.0,2.0,20.0,261.3686274509804,4.0
1.0,0.0,2.0,3.0,100.82745098039216,4.0
7.0,19.0,8.0,20.0,92.94019607843136,4.0
8.0,19.0,9.0,20.0,6.773202614379085,4.0
0.0,0.0,1.0,6.0,0.0,5.0
0.0,6.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,3.0,2.0,5.0,5.08235294117647,5.0
9.0,0.0,10.0,6.0,0.0,5.0
9.0,6.0,10.0,14.0,0.41323529411764703,5.0
9.0,14.0,10.0,20.0,0.0,5.0
