l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
4.0,5.0,7.0,7.0,1693.7071895424835,1.0
3.0,9.0,7.0,11.0,2553.5245098039222,1.0
4.0,12.0,6.0,13.0,2479.019607843137,1.0
3.0,14.0,7.0,17.0,2457.838888888889,1.0
3.0,18.0,7.0,19.0,2498.6813725490197,1.0
7.0,18.0,8.0,19.0,1869.9568627450979,1.0
2.0,5.0,3.0,6.0,894.4470588235295,2.0
2.0,6.0,3.0,12.0,1613.6803921568626,2.0
2.0,12.0,3.0,13.0,1451.4941176470588,2.0
7.0,5.0,8.0,8.0,1913.2366013071896,2.0
7.0,8.0,8.0,14.0,1936.2986928104574,2.0
7.0,14.0,8.0,18.0,2341.907843137255,2.0
8.0,16.0,9.0,18.0,591.1411764705882,2.0
3.0,19.0,7.0,20.0,2288.040196078432,2.0
7.0,19.0,8.0,20.0,1542.4941176470588,2.0
2.0,15.0,3.0,20.0,1327.869019607843,2.0
3.0,17.0,7.0,18.0,2161.8372549019614,2.0
3.0,13.0,6.0,14.0,2085.1790849673207,2.0
6.0,11.0,7.0,14.0,2405.656209150327,2.0
1.0,0.0,2.0,3.0,373.65882352941185,2.0
2.0,3.0,4.0,4.0,902.7686274509804,2.0
2.0,0.0,3.0,3.0,2518.3712418300656,1.0
3.0,0.0,7.0,3.0,2479.402614379085,1.0
7.0,0.0,8.0,3.0,998.250980392157,1.0
3.0,5.0,4.0,9.0,310.05465686274505,4.0
4.0,7.0,7.0,9.0,678.7708683473387,4.0
3.0,11.0,4.0,13.0,2.541176470588235,5.0
4.0,11.0,6.0,12.0,3.388235294117647,5.0
