l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
8.0,0.0,9.0,1.0,358.41960784313727,2.0
2.0,0.0,8.0,3.0,2001.6276688453158,1.0
3.0,4.0,7.0,10.0,2364.963725490196,1.0
3.0,12.0,7.0,17.0,2382.47,1.0
3.0,19.0,8.0,20.0,2183.698823529412,1.0
1.0,2.0,2.0,5.0,603.318954248366,2.0
2.0,3.0,3.0,5.0,1881.9941176470588,2.0
2.0,5.0,3.0,17.0,1538.9336601307186,2.0
2.0,17.0,3.0,20.0,939.5163398692813,2.0
7.0,3.0,8.0,5.0,1223.4450980392155,2.0
7.0,5.0,8.0,17.0,1743.6555555555558,2.0
7.0,17.0,8.0,19.0,2077.592156862745,2.0
8.0,18.0,9.0,20.0,595.7058823529413,2.0
3.0,10.0,7.0,12.0,2336.8250000000007,2.0
3.0,17.0,7.0,19.0,1984.015196078432,2.0
3.0,3.0,7.0,4.0,1361.1990196078434,2.0
1.0,5.0,2.0,6.0,341.3607843137255,4.0
1.0,6.0,2.0,18.0,343.4764705882353,4.0
1.0,18.0,2.0,20.0,205.02549019607847,4.0
-0.0,15.0,1.0,17.0,68.4921568627451,4.0
8.0,1.0,9.0,3.0,152.44313725490196,4.0
8.0,3.0,9.0,15.0,310.459477124183,4.0
8.0,15.0,9.0,18.0,219.9516339869281,4.0
9.0,0.0,10.0,3.0,0.0,5.0
9.0,3.0,10.0,17.0,0.2607843137254902,5.0
9.0,17.0,10.0,20.0,0.0,5.0
0.0,0.0,1.0,14.0,16.492156862745098,5.0
0.0,14.0,1.0,15.0,70.35686274509804,5.0
1.0,0.0,2.0,2.0,5.08235294117647,5.0
-0.0,17.0,1.0,20.0,10.16470588235294,5.0
