l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,10.0,8.0,18.0,2162.4092320261443,1.0
2.0,9.0,8.0,10.0,1293.2490196078434,2.0
8.0,9.0,9.0,10.0,576.6823529411764,2.0
2.0,0.0,8.0,1.0,1805.8163398692807,1.0
3.0,4.0,7.0,7.0,2505.7673202614387,1.0
1.0,0.0,2.0,4.0,543.8499999999998,2.0
2.0,1.0,6.0,4.0,1971.0238562091504,2.0
6.0,2.0,7.0,4.0,2068.070588235294,2.0
7.0,2.0,8.0,8.0,1153.1803921568628,2.0
3.0,7.0,7.0,9.0,1783.2823529411764,2.0
2.0,4.0,3.0,7.0,2034.235294117647,2.0
7.0,8.0,8.0,9.0,1191.4705882352941,2.0
1.0,7.0,3.0,9.0,1041.427450980392,2.0
1.0,9.0,2.0,10.0,1041.427450980392,2.0
8.0,0.0,9.0,9.0,31.669668361171627,4.0
9.0,7.0,10.0,10.0,6.878169934640522,4.0
6.0,1.0,8.0,2.0,158.4078431372549,4.0
1.0,19.0,7.0,20.0,534.5712418300653,4.0
7.0,19.0,8.0,20.0,148.94117647058823,4.0
1.0,4.0,2.0,7.0,254.71045751633991,4.0
8.0,10.0,9.0,18.0,15.762799564270153,4.0
0.0,0.0,1.0,3.0,9.383006535947713,5.0
0.0,3.0,1.0,17.0,16.333613445378152,5.0
0.0,17.0,1.0,20.0,0.0,5.0
1.0,10.0,2.0,20.0,4.5741176470588245,5.0
2.0,18.0,8.0,20.0,273.26666666666665,5.0
8.0,18.0,9.0,20.0,0.0,5.0
9.0,10.0,10.0,20.0,1.016470588235294,5.0
9.0,0.0,10.0,7.0,1.0164705882352942,5.0
