l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,3.0,3.0,5.0,726.0901960784313,2.0
3.0,9.0,4.0,11.0,2028.817647058824,1.0
4.0,9.0,6.0,11.0,2274.285294117648,1.0
6.0,9.0,8.0,11.0,2353.522549019608,1.0
3.0,7.0,4.0,9.0,1984.2411764705885,1.0
4.0,7.0,6.0,9.0,2234.2833333333333,1.0
6.0,7.0,8.0,9.0,2374.576470588236,1.0
3.0,5.0,4.0,7.0,1524.007843137255,1.0
4.0,5.0,6.0,7.0,1820.5137254901958,1.0
6.0,5.0,8.0,7.0,2151.7411764705885,1.0
3.0,3.0,4.0,5.0,1891.1274509803925,1.0
4.0,3.0,6.0,5.0,2195.5333333333333,1.0
6.0,3.0,8.0,5.0,2261.516666666667,1.0
4.0,14.0,5.0,16.0,2131.650980392157,1.0
5.0,14.0,7.0,16.0,2344.139215686275,1.0
7.0,14.0,8.0,16.0,2154.3392156862747,1.0
4.0,17.0,5.0,19.0,2200.86862745098,1.0
5.0,17.0,7.0,19.0,2413.56274509804,1.0
7.0,17.0,8.0,19.0,2195.7039215686277,1.0
3.0,17.0,4.0,20.0,1755.3973856209152,2.0
4.0,19.0,5.0,20.0,1794.7568627450976,2.0
5.0,19.0,7.0,20.0,1862.774509803921,2.0
7.0,19.0,9.0,20.0,1551.1725490196075,2.0
3.0,0.0,4.0,2.0,1558.6588235294116,2.0
8.0,2.0,9.0,6.0,843.2166666666666,2.0
8.0,0.0,9.0,2.0,1343.1882352941175,2.0
8.0,6.0,9.0,10.0,645.9254901960785,2.0
8.0,10.0,9.0,14.0,853.6078431372549,2.0
8.0,14.0,9.0,17.0,706.4980392156862,2.0
4.0,16.0,5.0,17.0,1353.2392156862745,2.0
5.0,16.0,7.0,17.0,1785.792156862745,2.0
7.0,16.0,8.0,17.0,2094.0039215686274,2.0
2.0,14.0,4.0,16.0,1251.3441176470587,2.0
2.0,6.0,3.0,7.0,668.4,2.0
2.0,7.0,3.0,11.0,741.7627450980392,2.0
2.0,11.0,3.0,12.0,604.6352941176468,2.0
3.0,11.0,4.0,13.0,1746.0274509803921,2.0
4.0,11.0,6.0,13.0,2053.153921568628,2.0
6.0,11.0,8.0,13.0,2237.158823529412,2.0
3.0,13.0,4.0,14.0,1112.254901960784,2.0
4.0,13.0,6.0,14.0,1611.4078431372545,2.0
6.0,13.0,8.0,14.0,2162.303921568628,2.0
4.0,0.0,5.0,3.0,1704.0065359477128,2.0
5.0,0.0,7.0,3.0,1926.1026143790855,2.0
7.0,0.0,8.0,3.0,2001.2,2.0
2.0,16.0,3.0,20.0,524.9725490196079,4.0
3.0,16.0,4.0,17.0,183.28137254901958,4.0
0.0,4.0,2.0,8.0,0.11029411764705882,5.0
0.0,0.0,2.0,4.0,0.10294117647058824,5.0
0.0,8.0,2.0,12.0,0.0,5.0
0.0,12.0,2.0,16.0,0.3602941176470588,5.0
0.0,16.0,2.0,20.0,0.7867647058823529,5.0
2.0,0.0,3.0,3.0,3.388235294117647,5.0
3.0,2.0,4.0,3.0,2.541176470588235,5.0
2.0,5.0,3.0,6.0,3.388235294117647,5.0
2.0,12.0,3.0,14.0,3.388235294117647,5.0
9.0,4.0,10.0,8.0,8.593137254901961,5.0
9.0,0.0,10.0,4.0,143.74803921568628,5.0
9.0,8.0,10.0,12.0,97.24313725490197,5.0
9.0,12.0,10.0,16.0,203.10588235294117,5.0
9.0,16.0,10.0,20.0,198.4823529411765,5.0
8.0,17.0,9.0,19.0,1.1294117647058823,5.0
