l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
8.0,13.0,9.0,15.0,486.65098039215684,2.0
3.0,5.0,7.0,9.0,2466.287990196079,1.0
7.0,5.0,8.0,9.0,2233.207843137255,1.0
3.0,10.0,7.0,14.0,2431.560784313725,1.0
7.0,10.0,8.0,14.0,2089.878431372549,1.0
3.0,14.0,7.0,15.0,2434.9480392156865,1.0
7.0,14.0,8.0,15.0,2402.0901960784313,1.0
2.0,18.0,6.0,20.0,2431.7161764705884,1.0
6.0,18.0,7.0,20.0,2483.272549019608,1.0
2.0,5.0,3.0,8.0,1283.9124183006536,2.0
2.0,8.0,3.0,14.0,1341.6366013071895,2.0
2.0,14.0,3.0,18.0,1860.169607843137,2.0
3.0,9.0,7.0,10.0,2280.7549019607845,2.0
7.0,9.0,8.0,10.0,2158.1098039215685,2.0
3.0,15.0,7.0,18.0,2231.5513071895425,2.0
7.0,15.0,8.0,20.0,1417.1490196078432,2.0
2.0,0.0,6.0,2.0,2427.320588235294,1.0
6.0,0.0,8.0,4.0,1860.0975490196079,2.0
2.0,2.0,6.0,4.0,2215.089705882353,2.0
1.0,0.0,2.0,5.0,57.35764705882352,4.0
2.0,4.0,3.0,5.0,480.38823529411764,4.0
3.0,4.0,7.0,5.0,963.5470588235297,4.0
7.0,4.0,8.0,5.0,1243.0196078431372,4.0
8.0,3.0,9.0,5.0,77.00784313725491,4.0
8.0,5.0,9.0,11.0,143.0660130718954,4.0
8.0,11.0,9.0,13.0,186.2450980392157,4.0
1.0,15.0,2.0,20.0,71.07215686274509,4.0
0.0,0.0,1.0,6.0,0.0,5.0
0.0,6.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,5.0,2.0,7.0,5.629411764705884,5.0
1.0,7.0,2.0,13.0,59.21830065359477,5.0
1.0,13.0,2.0,15.0,29.192156862745094,5.0
8.0,0.0,9.0,3.0,1.1294117647058823,5.0
9.0,0.0,10.0,6.0,0.0,5.0
9.0,6.0,10.0,14.0,0.0,5.0
9.0,14.0,10.0,20.0,0.0,5.0
8.0,15.0,9.0,20.0,1.1294117647058823,5.0
